     0: >>> E[0:00:00]-R[?]: Return=     -1020, Steps=30.0, Features = 1000
   700: E[0:09:10]-R[0:03:56]: Return=      -534, Steps= 100, Features = 1000
   700: >>> E[0:09:10]-R[0:03:56]: Return=     -3683, Steps=100.0, Features = 1000
   800: E[0:11:19]-R[0:02:50]: Return=      -703, Steps= 100, Features = 1000
   800: >>> E[0:11:19]-R[0:02:50]: Return=     -3517, Steps=100.0, Features = 1000
   900: E[0:13:28]-R[0:01:30]: Return=    -912.8, Steps= 100, Features = 1000
   900: >>> E[0:13:28]-R[0:01:30]: Return=     -3016, Steps=100.0, Features = 1000
  1000: E[0:15:37]-R[0:00:00]: Return=     -1434, Steps= 100, Features = 1000
  1000: >>> E[0:15:37]-R[0:00:00]: Return=    -246.1, Steps=100.0, Features = 1000
Total Experiment Duration 0:15:37
     0: >>> E[0:00:00]-R[?]: Return=     -1013, Steps=100.0, Features = 1000
    10: >>> E[0:00:05]-R[0:00:47]: Return=    -246.5, Steps=100.0, Features = 1000
    20: >>> E[0:00:11]-R[0:00:42]: Return=     -3571, Steps=100.0, Features = 1000
    30: >>> E[0:00:16]-R[0:00:38]: Return=     -3141, Steps=100.0, Features = 1000
    40: >>> E[0:00:22]-R[0:00:34]: Return=    -473.4, Steps=100.0, Features = 1000
    50: >>> E[0:00:29]-R[0:00:29]: Return=    -473.4, Steps=100.0, Features = 1000
    60: >>> E[0:00:36]-R[0:00:24]: Return=    -473.3, Steps=100.0, Features = 1000
    70: >>> E[0:00:44]-R[0:00:19]: Return=    -941.6, Steps=100.0, Features = 1000
    80: >>> E[0:00:52]-R[0:00:13]: Return=    -810.9, Steps=100.0, Features = 1000
    90: >>> E[0:01:00]-R[0:00:07]: Return=    -710.8, Steps=100.0, Features = 1000
   100: E[0:01:09]-R[0:00:00]: Return=     -1590, Steps= 100, Features = 1000
   100: >>> E[0:01:09]-R[0:00:00]: Return=    -843.9, Steps=100.0, Features = 1000
Total Experiment Duration 0:01:09
     0: >>> E[0:00:00]-R[?]: Return=     -1013, Steps=100.0, Features = 1000
    10: >>> E[0:00:05]-R[0:00:49]: Return=    -246.5, Steps=100.0, Features = 1000
    20: >>> E[0:00:11]-R[0:00:43]: Return=     -3571, Steps=100.0, Features = 1000
    30: >>> E[0:00:16]-R[0:00:38]: Return=     -3141, Steps=100.0, Features = 1000
    40: >>> E[0:00:22]-R[0:00:33]: Return=    -473.4, Steps=100.0, Features = 1000
    50: >>> E[0:00:29]-R[0:00:29]: Return=    -473.4, Steps=100.0, Features = 1000
    60: >>> E[0:00:36]-R[0:00:24]: Return=    -473.3, Steps=100.0, Features = 1000
    70: >>> E[0:00:43]-R[0:00:18]: Return=    -941.6, Steps=100.0, Features = 1000
    80: >>> E[0:00:51]-R[0:00:13]: Return=    -810.4, Steps=100.0, Features = 1000
    90: >>> E[0:00:59]-R[0:00:07]: Return=    -710.8, Steps=100.0, Features = 1000
   100: E[0:01:08]-R[0:00:00]: Return=     -1590, Steps= 100, Features = 1000
   100: >>> E[0:01:08]-R[0:00:00]: Return=    -843.9, Steps=100.0, Features = 1000
Total Experiment Duration 0:01:08
